Sample.ID,Class,X405,X435,X450,X470,X505,X525,X570,X590,X630,X645,X660,X700,X850,X870,X890,X910,X940,X970,StdDev.405,StdDev.435,StdDev.450,StdDev.470,StdDev.505,StdDev.525,StdDev.570,StdDev.590,StdDev.630,StdDev.645,StdDev.660,StdDev.700,StdDev.850,StdDev.870,StdDev.890,StdDev.910,StdDev.940,StdDev.970
b2_80a,80,5.632878,7.171828,8.830713,11.52084,12.8049,12.00413,10.10888,16.56086,26.69813,30.4906,33.10778,46.68152,47.00647,45.15499,42.53179,37.8121,36.56232,31.05827,0.770551,1.203875,1.590302,2.111931,2.333293,2.249721,1.992601,3.099235,4.052241,4.118697,4.177009,3.971236,3.493653,3.529889,3.590547,3.434353,3.45716,3.32298
b2_80b,80,5.802327,7.262722,9.015477,12.03611,13.24232,12.36627,10.35972,16.66118,26.95881,30.7673,33.392,47.16138,47.3217,45.44121,42.78785,38.02314,36.76358,31.19296,0.7509105,1.186121,1.617103,2.244094,2.512547,2.424867,2.102597,3.321089,4.327512,4.356654,4.399951,4.040099,3.291306,3.304275,3.351658,3.18462,3.18558,3.001447
b2_80c,80,5.742394,7.276804,9.062741,12.0932,13.3828,12.51967,10.51823,17.08273,27.29753,31.09309,33.78432,47.92578,47.58366,45.6693,42.98999,38.21489,36.97268,31.41774,0.6934938,1.127161,1.559965,2.184279,2.475667,2.389188,2.095725,3.252897,4.183422,4.182558,4.197662,3.775125,3.125799,3.150677,3.199125,3.070252,3.091966,2.991092
b2_80d,80,5.688871,7.169903,8.882144,11.74471,13.03599,12.20419,10.21115,16.73574,26.77712,30.50456,33.15917,47.22975,46.78077,44.86433,42.18476,37.50542,36.27975,30.84568,0.8142,1.286992,1.746301,2.407807,2.771349,2.667033,2.29774,3.731537,4.97494,5.040317,5.099016,4.622241,3.775519,3.809015,3.879333,3.724235,3.734244,3.551204
b2_80e,80,5.61982,6.964191,8.613382,11.49402,12.53006,11.70527,9.906835,15.77798,25.57122,29.35099,31.97725,45.95238,46.49785,44.62958,41.9703,37.26875,36.02514,30.54803,0.7252245,1.145936,1.560093,2.15529,2.417126,2.334381,2.045113,3.233213,4.316212,4.406246,4.478528,4.234833,3.524686,3.535298,3.574837,3.372944,3.37139,3.158005
b2_90a,90,5.58433,6.976483,8.542211,11.13486,12.31781,11.50605,9.685179,15.4825,25.55809,29.33571,31.79913,44.7126,45.90767,44.11858,41.56443,36.97535,35.7493,30.3789,0.7153859,1.115729,1.483778,1.977923,2.23479,2.159649,1.922659,2.977446,3.611994,3.637831,3.712925,3.712649,2.979429,3.039927,3.190368,3.058739,3.053254,2.933106
b2_90b,90,5.579598,6.698521,8.166564,10.75335,11.87083,11.04559,9.133064,14.9277,25.01317,28.75861,31.33096,45.31261,44.94355,43.03763,40.40545,35.95885,34.78871,29.62726,0.7099625,0.9998599,1.298178,1.751061,1.946088,1.852891,1.521438,2.595783,3.708968,3.775931,3.811913,3.45484,3.041459,3.133763,3.298981,3.179765,3.172714,3.045401
b2_90c,90,5.562518,6.667875,8.159492,10.8302,11.94526,11.10508,9.18031,14.99734,25.1953,28.95999,31.52209,45.4029,45.14995,43.24186,40.59138,36.09221,34.91131,29.68497,0.7349326,1.032252,1.356618,1.889479,2.090292,1.98635,1.668902,2.738622,3.813857,3.870783,3.919681,3.627316,3.090662,3.16361,3.314787,3.171694,3.153881,2.986113
b2_90d,90,5.605048,6.798934,8.283267,10.78872,12.15545,11.33855,9.26616,15.82077,26.58586,30.30853,32.85402,46.30635,45.05537,43.12275,40.47192,35.99718,34.81732,29.60893,0.7726817,1.13202,1.50051,2.037972,2.325783,2.211477,1.802819,3.05393,4.405613,4.424203,4.41647,3.813238,3.277234,3.348996,3.491584,3.318298,3.306087,3.135826
b2_90e,90,5.562997,6.776029,8.271199,10.84874,11.96696,11.15982,9.304172,15.08662,24.99348,28.70777,31.23322,44.92455,45.0205,43.12778,40.47937,35.96446,34.77799,29.54407,0.7235731,1.079901,1.433737,1.946965,2.21253,2.117875,1.786512,2.968496,4.097472,4.15848,4.22051,3.91488,3.220853,3.27555,3.407373,3.225002,3.202639,3.007187
