Sample_ID,Class,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,X101
M2_13156,0,77624,1156626,721150,30396,35348,162451,72708,90567,225312,3200846,125440,20684,930812,135761,389634,104525,0,202092,472376,17734,37977,51473,44014,91244,559435,68763,254145,73279,612320,48006,109470,276251,12736,0,0,19385,0,12545,0,55935,461804,1332824,17391,17453,21739094,0,0,0,0,0,18809,12593,14265413,0,136993,787291,498242,139125,126125,211561,67851,660298,35300,692362,30363,138786,49933,134838,49655,184265,146085,112971,252303,3467267,4922767,6292263,77812,187447,108258,192527,30465,239209,45809,37413,763138,0,235363,0,198240,0,28597,91345,24610,93642,0,11727,535700,43026,22811,30224,0
M3_13156,0,62873,1253107,749914,26170,29922,145441,130369,110877,134310,1939115,84481,19382,932603,120810,630780,228948,0,220889,669752,15966,28037,64702,33943,77700,510488,40431,254570,57502,537876,35363,124598,451256,0,0,0,23532,0,0,0,122428,576448,1250197,0,14868,19484065,0,0,0,0,281620,12304,0,13407833,0,130171,856883,542337,130874,105553,250171,55474,729706,36473,386594,13656,142613,57041,118217,38036,81466,190059,58130,227082,4003068,4592582,2168425,55918,198685,127472,183796,24078,256620,36680,26797,387866,0,88897,0,162454,0,15326,97284,28304,122994,0,13163,554845,117013,25166,35151,0
M4_13156,0,60234,972195,772627,35680,22200,257193,59415,79465,186703,1922189,60058,24756,759174,132965,351376,126086,0,130347,422782,18236,20191,52693,30256,78526,426634,32922,281923,53595,287121,41173,81016,419365,10516,0,0,21842,0,0,0,127355,703278,811036,10385,14984,12195527,0,12940,0,0,137132,18328,0,10986471,0,121949,545670,288508,112126,95004,145598,56544,416756,22482,610836,29143,74952,34712,88914,30311,163749,79466,112770,159074,2112190,3023279,2649132,41843,123626,74211,155908,11308,145541,34084,19032,563334,0,67903,0,110848,0,19747,52474,13471,43389,0,0,287701,15398,15273,17842,0
M5_13156,0,73990,1306530,787105,33154,35533,106038,84210,22859,115431,2137083,160196,30731,815765,140457,360783,156389,0,323506,188953,23752,31312,71496,43993,106089,635856,59552,223416,89830,640599,51212,119347,0,17048,0,0,27709,0,11291,0,136016,638949,1593627,17417,19394,22313302,0,21615,0,0,185097,20688,14883,12530563,0,209833,551235,604098,181791,152724,258349,68117,663916,72922,906176,34149,159774,57507,189164,63738,249315,170016,146666,247960,4155256,5661432,3473672,93255,235037,128418,198392,42179,219687,33300,38566,983181,0,299845,0,192918,0,41064,102366,28958,100472,0,15897,440509,26650,27933,25699,0
M1_13162,0,144174,1502155,962110,51714,104523,74010,88336,56718,85832,1431136,789115,27654,364482,286335,342736,137382,0,502149,405124,29836,22822,109951,60246,143742,1232358,97550,254625,178836,689362,89947,164023,0,36398,0,0,23577,0,0,0,83124,966104,2481059,20717,28136,23312155,0,0,23461,0,264689,37190,21669,12984903,0,247911,880546,917068,207980,184599,246062,80059,917262,65790,2715455,43369,157715,55255,159227,52237,118296,314375,436274,307396,4317831,6518140,1581057,77261,260835,157015,283361,73021,343443,806000,32390,490734,0,560943,0,153242,0,16839,106928,36235,196940,0,19525,780009,12591,30592,27337,0
M2_13162,0,75166,863884,1083114,48393,64718,154897,65042,46679,91641,464939,277762,20413,322389,200885,867224,248974,0,514944,350171,28159,36579,86612,55905,111492,842354,89073,330773,159860,500978,71987,109301,0,32035,0,0,24170,0,0,0,74008,784258,1858867,16468,16610,19730286,0,10268,35771,0,138640,34591,10445,12918212,0,194857,699347,554216,240173,132548,271266,78424,504442,45893,792138,23303,128428,43033,105855,35736,156934,142462,108511,237866,3298571,6191186,1010675,48993,188887,161109,209855,29476,178251,78796,23934,513336,0,55308,0,71629,0,15126,71152,23514,93234,0,10503,353944,0,16391,20153,0
M3_13162,0,77410,765205,842472,60123,29001,208296,60232,48672,187773,1489147,134673,19000,689079,149199,599055,219742,0,184264,221633,16558,17364,83415,30572,78713,859543,53970,268097,70481,357783,80316,149307,392007,14355,0,0,17153,0,0,0,69193,572505,1417241,0,24636,13471126,0,31244,31961,0,141863,36731,11081,12241572,0,197502,676342,563564,128037,148434,216343,286134,574521,22960,859131,15439,106507,52249,117263,44981,77535,247410,139590,177503,3732519,3253195,694072,64805,205629,109781,710101,18267,267369,355931,30965,345658,0,93254,0,120923,0,10948,84781,24170,137699,0,19277,530017,0,23283,28638,0
M4_13162,0,83166,1670917,1260786,59988,107905,85620,85932,41573,59269,1020220,431761,25655,205828,179684,183573,86076,0,360380,215759,22090,13202,70919,36001,75130,635488,54769,206944,91088,353234,62938,97426,114433,23614,0,0,12419,0,0,0,53563,601977,1247873,0,14117,13247133,0,0,21145,0,142235,31544,0,7954777,0,145973,449249,395205,129544,101636,124795,109929,454780,28342,576293,20924,71051,0,104494,38715,83049,110424,99684,183909,1928826,2988563,405090,53174,132677,82847,341302,19785,172219,53747,19405,295987,0,377467,0,65585,0,9358,48519,0,57608,0,0,311530,0,13525,13206,0
M5_13162,0,103180,1530852,1872327,42220,47001,161541,66759,41681,113730,2138782,266809,38979,383565,426803,389872,129534,0,236573,154419,30899,16169,66021,30180,79095,662857,63163,266942,78009,346327,66166,101133,237902,14307,0,0,14319,0,0,0,25821,530407,1076242,0,17860,12367384,0,11928,37272,0,65555,41556,13066,9172272,0,134246,443033,353673,107320,108265,140474,112572,404008,16986,1194655,18815,73102,26851,75542,28200,61274,91819,196946,167352,1751289,2333214,937113,39274,119879,82799,496678,45990,153535,462211,18717,282561,0,172601,0,79523,0,9653,45346,0,51962,0,11183,269083,0,18491,0,0
M1_13169,0,125656,2860238,2121013,52630,189740,55462,223479,43408,65198,1271419,502354,21564,372064,673310,289840,150852,0,685074,245153,27501,21980,108570,65169,116882,714443,85378,176157,63584,549088,101142,115305,260868,72806,107290,0,56822,0,38163,30188,1266836,790114,1189554,150410,140591,17836324,18463,136934,19935,309633,96744,41354,15304,9395045,0,301994,835285,447322,222932,189353,146732,57525,606746,86506,1083871,43980,118820,42933,111286,37149,308891,130987,163167,263943,2679978,2974598,682207,55492,149816,88369,152519,93902,215787,41199,28071,1526173,0,94623,0,67128,0,26482,77937,17312,86865,0,10360,468053,49397,20525,35794,31547
