Sample ID,Class,405,435,450,470,505,525,570,590,630,645,660,700,850,870,890,910,940,970,StdDev 01,StdDev 02,StdDev 03,StdDev 04,StdDev 05,StdDev 06,StdDev 07,StdDev 08,StdDev 09,StdDev 10,StdDev 11,StdDev 12,StdDev 13,StdDev 14,StdDev 15,StdDev 16,StdDev 17,StdDev 18
X1_12262,2,8.68836,12.30379,16.00235,21.48134,25.73097,24.27171,20.09,34.08622,54.48462,58.62665,60.87399,68.68985,66.71032,65.11626,62.29596,55.83781,54.41,47.28248,1.61102,2.695913,3.392458,4.089276,4.537568,4.435047,3.921333,5.065469,5.551336,5.311677,5.17739,4.320134,3.785241,3.840292,3.832151,3.763196,3.84657,4.050551
X2_12262,2,8.774464,12.75448,16.48028,21.81295,26.64732,25.24511,20.85898,37.35379,60.14482,64.58543,66.86725,73.47481,67.82166,66.25872,63.46426,57.13684,55.78833,48.95611,1.552042,2.636255,3.369504,4.120682,4.616484,4.493243,3.975381,4.90034,4.93313,4.791786,4.760215,4.53225,4.410177,4.468616,4.415471,4.252853,4.336753,4.490659
X3_12262,2,8.438674,12.14439,15.72447,20.8371,25.47301,24.11253,20.03036,35.77759,58.04464,62.26497,64.6009,71.50676,66.75372,65.15261,62.39422,56.15206,54.75649,47.78796,1.612316,2.717206,3.45648,4.222081,4.741194,4.620006,4.06998,5.11575,5.346775,5.221505,5.208401,4.683495,4.209408,4.25378,4.207253,4.095795,4.179083,4.356646
X4_12262,2,8.71559,12.83339,16.61696,21.92479,26.7229,25.38895,21.24771,37.54645,59.14409,63.40239,65.91348,73.08161,67.60944,65.98523,63.16875,56.72754,55.30009,48.18446,1.638643,2.650609,3.323227,4.018217,4.487746,4.377167,3.897299,4.803981,5.253901,5.216065,5.289845,5.123539,4.649559,4.650292,4.549599,4.284957,4.334589,4.378246
X5_12262,2,8.627052,12.09023,15.59551,20.75112,25.01597,23.64255,19.74431,33.5856,54.18878,58.46953,60.71485,68.58554,66.41257,64.88379,62.12096,55.83381,54.45887,47.47004,1.568552,2.657864,3.378035,4.115956,4.723537,4.609499,4.027648,5.434673,6.039131,5.836448,5.727421,4.998772,4.275183,4.309827,4.245286,4.079535,4.159928,4.321461
X1_12269,2,8.223289,12.03407,15.5949,20.69412,24.59914,23.36719,19.56956,32.37677,50.47874,54.55204,56.78689,66.00831,65.45786,64.04565,61.06622,54.79461,53.46218,46.17465,1.603564,2.662177,3.33203,3.981857,4.517601,4.417009,3.799883,5.204692,5.730126,5.589537,5.543942,5.182016,4.658547,4.701422,4.583822,4.363445,4.43772,4.525497
X2_12269,2,8.407139,12.55193,16.24866,21.47091,25.5622,24.33898,20.36431,34.36219,53.36934,57.56987,59.87472,68.90657,66.81933,65.41635,62.4196,56.17286,54.95273,47.8555,1.542366,2.536297,3.154452,3.755495,4.178582,4.083349,3.589146,4.704741,5.220937,5.082049,5.022889,4.741907,4.403969,4.447095,4.369042,4.169748,4.248274,4.307472
X3_12269,2,8.484538,12.53956,16.24663,21.51377,25.43381,24.17701,20.21923,33.45493,51.50221,55.53916,57.83148,67.23597,66.3472,64.95691,61.89302,55.72477,54.48296,47.40793,1.576048,2.602945,3.250557,3.890289,4.389172,4.278063,3.645446,5.09197,5.781204,5.620568,5.549224,5.030126,4.402824,4.449305,4.33403,4.133787,4.196467,4.233393
X4_12269,2,8.290786,11.98379,15.59837,20.9402,24.628,23.36036,19.58173,31.57579,49.1647,53.3047,55.6302,65.59941,66.14814,64.7703,61.70519,55.44056,54.2086,47.14606,1.600168,2.606896,3.2608,3.896141,4.410251,4.307999,3.655498,5.064435,5.561474,5.391401,5.319383,4.917058,4.50172,4.532578,4.406647,4.175543,4.244789,4.292933
X5_12269,2,8.395157,12.42478,16.31909,22.04697,25.58641,24.25135,20.43933,32.3897,49.69191,53.91284,56.30692,66.46304,66.77534,65.39903,62.25422,55.79107,54.53089,47.22147,1.529619,2.535267,3.177073,3.80941,4.221288,4.147036,3.58028,4.790686,5.06989,4.849629,4.744401,4.169792,3.817109,3.88604,3.856588,3.824669,3.920596,4.12278
